Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,25,38.0,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,50.3
Aston Villa,28,38.0,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2
Bournemouth,29,38.0,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,48.6
Brentford,28,38.0,62,1,0,320,339,63,674,285,380,6,1,3,1644,624,567,52.4
Brighton,32,38.0,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,52.8
Chelsea,29,38.0,101,2,1,436,444,65,663,272,371,5,6,0,1577,402,390,50.8
Crystal Palace,29,38.0,80,4,3,417,403,74,605,334,450,4,2,3,1698,511,636,44.6
Everton,26,38.0,82,2,1,430,384,81,682,345,433,1,2,0,1524,614,564,52.1
Fulham,26,38.0,80,2,0,432,359,43,894,302,411,3,4,2,1610,533,532,50.0
Ipswich Town,32,38.0,93,5,4,430,404,52,505,303,340,2,6,2,1437,552,533,50.9
Leicester City,32,38.0,87,0,0,420,393,63,621,327,431,3,4,3,1478,503,579,46.5
Liverpool,24,38.0,67,3,1,430,359,60,729,299,391,6,2,2,1621,406,368,52.5
Manchester City,30,38.0,59,2,1,287,382,45,659,229,299,4,4,2,1437,310,334,48.1
Manchester Utd,31,38.0,86,3,1,403,371,69,630,358,493,4,4,2,1736,486,488,49.9
Newcastle Utd,24,38.0,68,1,0,394,450,71,705,270,371,4,2,2,1632,487,466,51.1
Nott'ham Forest,23,38.0,90,2,2,401,419,91,621,322,419,3,3,0,1588,570,559,50.5
Southampton,36,38.0,89,3,0,459,421,49,548,305,378,2,9,0,1440,468,421,52.6
Tottenham,31,38.0,72,1,1,446,483,63,752,322,414,4,3,4,1659,422,437,49.1
West Ham,27,38.0,82,3,2,443,397,73,613,331,388,2,3,3,1558,587,560,51.2
Wolves,32,38.0,79,2,2,480,425,62,568,298,471,0,9,3,1659,451,475,48.7
