Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,29,38.0,499,285,246,192,61,239,535,44.7,296,391,129,262,369,868,752,16
vs Aston Villa,24,38.0,563,322,309,189,65,226,595,38.0,369,377,145,232,355,918,804,18
vs Brighton,27,38.0,528,316,269,207,52,222,572,38.8,350,417,154,263,456,984,717,15
vs Burnley,25,38.0,447,261,212,193,42,163,397,41.1,234,300,87,213,308,755,811,12
vs Chelsea,27,38.0,584,313,278,221,85,298,657,45.4,359,464,153,311,430,1014,761,16
vs Crystal Palace,24,38.0,682,400,281,305,96,280,645,43.4,365,397,97,300,378,1060,597,11
vs Everton,29,38.0,573,314,238,242,93,229,591,38.7,362,398,99,299,357,930,655,9
vs Fulham,28,38.0,682,373,323,271,88,289,795,36.4,506,426,121,305,404,1086,729,16
vs Leeds United,23,38.0,564,318,242,235,87,245,563,43.5,318,448,126,322,426,990,812,14
vs Leicester City,27,38.0,609,350,287,250,72,287,645,44.5,358,450,140,310,449,1058,679,15
vs Liverpool,28,38.0,675,343,377,238,60,288,695,41.4,407,469,172,297,456,1131,1057,27
vs Manchester City,24,38.0,647,358,380,219,48,287,772,37.2,485,451,168,283,405,1052,713,28
vs Manchester Utd,29,38.0,656,369,360,215,81,296,711,41.6,415,511,149,362,478,1134,724,11
vs Newcastle Utd,27,38.0,534,276,232,223,79,237,587,40.4,350,387,115,272,372,906,632,9
vs Sheffield Utd,27,38.0,529,301,288,177,64,206,475,43.4,269,353,91,262,296,825,690,9
vs Southampton,29,38.0,644,355,236,315,93,258,601,42.9,343,399,98,301,428,1072,680,14
vs Tottenham,24,38.0,646,381,310,260,76,312,715,43.6,403,433,107,326,429,1075,615,15
vs West Brom,30,38.0,554,328,256,235,63,241,505,47.7,264,296,75,221,328,882,672,13
vs West Ham,24,38.0,562,328,279,218,65,244,542,45.0,298,405,116,289,364,926,710,9
vs Wolves,27,38.0,620,339,288,276,56,311,779,39.9,468,387,129,258,345,965,706,15
