Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,3,38.0,55,6,2,3,2,47.6,0.29,-5.4,-0.14,239,617,38.7,1076,140,42.1,35.7,266,61.7,44.2,564,21,3.7,38,1.0,14.7
vs Aston Villa,1,38.0,55,5,0,6,3,52.0,0.26,0.0,0.0,194,549,35.3,866,134,42.5,36.0,287,63.1,45.6,624,26,4.2,29,0.76,14.2
vs Brighton,2,38.0,40,6,0,5,1,40.8,0.26,1.8,0.05,184,535,34.4,898,197,38.2,34.1,321,59.8,43.8,535,26,4.9,35,0.92,13.3
vs Burnley,3,38.0,33,3,0,6,1,32.2,0.23,0.2,0.01,165,619,26.7,1089,225,39.9,34.5,264,69.7,48.2,621,51,8.2,45,1.18,12.1
vs Chelsea,3,38.0,58,8,0,9,2,58.9,0.25,2.9,0.08,201,577,34.8,947,174,42.8,35.9,282,61.0,44.7,579,22,3.8,11,0.29,10.1
vs Crystal Palace,2,38.0,41,3,1,2,2,32.5,0.22,-6.5,-0.17,125,320,39.1,804,177,29.6,30.7,197,41.6,35.3,384,26,6.8,33,0.87,14.7
vs Everton,3,38.0,47,4,0,10,2,44.1,0.27,-0.9,-0.02,133,406,32.8,882,186,32.7,31.9,238,49.6,40.4,494,29,5.9,35,0.92,14.0
vs Fulham,2,38.0,27,3,0,3,1,31.1,0.21,5.1,0.14,178,500,35.6,910,167,38.8,35.4,278,52.9,42.8,562,32,5.7,42,1.11,15.0
vs Leeds United,2,38.0,62,4,2,8,2,60.3,0.29,0.3,0.01,229,635,36.1,910,184,42.4,35.3,320,77.8,51.5,634,33,5.2,35,0.92,13.4
vs Leicester City,1,38.0,68,10,1,5,4,56.9,0.25,-7.1,-0.19,175,497,35.2,914,181,38.9,34.7,242,58.3,43.5,494,17,3.4,39,1.03,15.3
vs Liverpool,3,38.0,68,6,0,10,3,60.9,0.27,-4.1,-0.11,264,717,36.8,965,184,49.1,38.5,342,71.1,48.2,644,20,3.1,36,0.95,13.4
vs Manchester City,3,38.0,83,5,1,9,1,71.1,0.31,-10.9,-0.29,218,636,34.3,1063,151,41.8,35.0,337,57.0,40.7,487,21,4.3,31,0.82,13.6
vs Manchester Utd,2,38.0,73,10,0,5,3,59.9,0.24,-10.1,-0.26,162,541,29.9,997,171,40.3,35.1,243,57.2,43.0,503,22,4.4,29,0.76,15.0
vs Newcastle Utd,2,38.0,46,6,1,7,2,44.1,0.28,0.1,0.0,156,424,36.8,940,170,33.7,32.1,191,56.0,41.2,508,19,3.7,46,1.21,16.0
vs Sheffield Utd,1,38.0,20,3,0,4,1,25.3,0.22,6.3,0.17,188,455,41.3,1039,174,32.2,32.6,220,54.5,42.0,527,25,4.7,42,1.11,15.7
vs Southampton,2,38.0,47,5,4,6,0,42.6,0.23,-4.4,-0.12,215,534,40.3,933,167,41.8,36.3,242,59.5,44.1,427,12,2.8,45,1.18,15.5
vs Tottenham,1,38.0,68,5,0,6,2,54.8,0.3,-11.2,-0.3,165,474,34.8,915,183,37.5,33.9,217,60.4,45.1,416,17,4.1,51,1.34,17.9
vs West Brom,2,38.0,35,4,1,5,2,30.9,0.26,-2.1,-0.06,118,348,33.9,858,180,26.8,29.5,253,46.6,38.7,463,33,7.1,42,1.11,13.8
vs West Ham,2,38.0,62,2,0,9,2,48.1,0.29,-11.9,-0.31,173,478,36.2,1020,203,33.9,31.9,242,54.5,42.6,596,20,3.4,33,0.87,16.9
vs Wolves,2,38.0,36,4,0,7,2,34.1,0.2,0.1,0.0,156,395,39.5,828,172,32.5,32.4,275,45.8,38.0,565,29,5.1,26,0.68,12.9
