Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,26,26.7,40.1,38,418,3420,38.0,42,27,69,39,3,5,84,1,42.0,38.0,31.6,69.6,510,907,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1.0,1.83
vs Aston Villa,26,26.5,50.6,38,418,3420,38.0,42,25,67,37,5,6,85,3,52.5,47.9,36.1,84.0,608,1323,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21
vs Bournemouth,31,26.6,59.9,38,418,3420,38.0,68,49,117,62,6,7,51,0,63.8,58.3,45.3,103.6,810,1988,1.79,1.29,3.08,1.63,2.92,1.68,1.19,2.87,1.54,2.73
vs Brentford,25,26.6,56.6,38,418,3420,38.0,43,30,73,41,2,2,61,1,48.8,47.6,35.7,83.3,741,1540,1.13,0.79,1.92,1.08,1.87,1.28,0.94,2.22,1.25,2.19
vs Brighton,29,26.5,39.5,38,418,3420,38.0,47,34,81,41,6,8,92,1,50.2,43.7,33.7,77.4,527,1026,1.24,0.89,2.13,1.08,1.97,1.32,0.89,2.21,1.15,2.04
vs Chelsea,32,26.6,41.0,38,418,3420,38.0,44,32,76,43,1,1,69,1,52.5,51.7,39.9,91.6,593,1203,1.16,0.84,2.0,1.13,1.97,1.38,1.05,2.43,1.36,2.41
vs Crystal Palace,26,26.6,53.9,38,418,3420,38.0,46,32,78,42,4,4,83,3,48.1,44.9,34.5,79.4,590,1592,1.21,0.84,2.05,1.11,1.95,1.26,0.91,2.17,1.18,2.09
vs Everton,28,26.5,57.4,38,418,3420,38.0,57,36,93,52,5,6,76,1,65.5,60.9,45.5,106.4,752,1678,1.5,0.95,2.45,1.37,2.32,1.72,1.2,2.92,1.6,2.8
vs Fulham,29,26.7,51.3,38,418,3420,38.0,51,30,81,44,7,8,57,5,63.6,57.8,43.0,100.8,559,1406,1.34,0.79,2.13,1.16,1.95,1.67,1.13,2.81,1.52,2.65
vs Leeds United,29,26.7,53.1,38,418,3420,38.0,77,50,127,72,5,6,66,3,67.1,62.4,49.8,112.2,596,1469,2.03,1.32,3.34,1.89,3.21,1.77,1.31,3.08,1.64,2.95
vs Leicester City,28,26.6,52.4,38,418,3420,38.0,63,46,109,59,4,5,64,2,63.3,59.8,47.9,107.7,721,1575,1.66,1.21,2.87,1.55,2.76,1.66,1.26,2.93,1.57,2.83
vs Liverpool,28,26.6,38.9,38,418,3420,38.0,45,32,77,43,2,4,59,1,50.8,47.9,37.8,85.7,506,1101,1.18,0.84,2.03,1.13,1.97,1.34,0.99,2.33,1.26,2.26
vs Manchester City,24,26.6,34.7,38,418,3420,38.0,32,21,53,29,3,3,80,2,32.1,29.8,23.8,53.5,434,860,0.84,0.55,1.39,0.76,1.32,0.85,0.63,1.47,0.78,1.41
vs Manchester Utd,26,26.4,46.0,38,418,3420,38.0,42,28,70,40,2,3,50,0,50.4,48.0,37.4,85.4,697,1355,1.11,0.74,1.84,1.05,1.79,1.33,0.98,2.31,1.26,2.25
vs Newcastle Utd,27,26.8,47.6,38,418,3420,38.0,31,23,54,29,2,5,80,2,39.5,35.6,29.6,65.2,600,1201,0.82,0.61,1.42,0.76,1.37,1.04,0.78,1.82,0.94,1.72
vs Nott'ham Forest,33,26.8,62.8,38,418,3420,38.0,68,45,113,62,6,9,65,0,64.2,57.5,45.0,102.5,813,1904,1.79,1.18,2.97,1.63,2.82,1.69,1.18,2.87,1.51,2.7
vs Southampton,36,26.7,55.6,38,418,3420,38.0,68,55,123,66,2,3,63,2,60.8,58.4,46.2,104.6,653,1735,1.79,1.45,3.24,1.74,3.18,1.6,1.21,2.81,1.54,2.75
vs Tottenham,29,26.7,50.1,38,418,3420,38.0,62,45,107,59,3,4,79,2,49.6,46.5,36.3,82.8,685,1516,1.63,1.18,2.82,1.55,2.74,1.31,0.95,2.26,1.22,2.18
vs West Ham,25,26.6,58.2,38,418,3420,38.0,54,42,96,50,4,6,54,0,53.0,48.4,39.8,88.2,805,1721,1.42,1.11,2.53,1.32,2.42,1.4,1.05,2.44,1.27,2.32
vs Wolves,32,26.4,49.8,38,418,3420,38.0,57,44,101,55,2,4,75,0,59.9,56.7,44.2,100.9,703,1596,1.5,1.16,2.66,1.45,2.61,1.58,1.16,2.74,1.49,2.66
