Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,25,26.1,38,3420,90,100,38.0,418,83,259,157,21,185,0.68,34,69,-35,-0.92,34.4,59.9,-25.5,-0.67
vs Aston Villa,28,26.3,38,3420,90,100,38.0,418,80,263,157,18,185,1.03,51,58,-7,-0.18,50.1,56.1,-5.9,-0.16
vs Bournemouth,29,26.4,38,3420,90,100,38.0,418,83,254,160,20,182,1.24,46,58,-12,-0.32,48.5,64.0,-15.5,-0.41
vs Brentford,28,26.4,38,3420,90,100,38.0,418,85,251,165,20,177,1.32,57,66,-9,-0.24,55.4,59.0,-3.6,-0.09
vs Brighton,32,26.2,38,3420,90,100,38.0,418,82,254,163,20,179,1.05,59,66,-7,-0.18,54.6,58.7,-4.1,-0.11
vs Chelsea,29,26.5,38,3420,90,100,38.0,418,83,263,154,19,188,0.95,43,64,-21,-0.55,47.3,67.8,-20.5,-0.54
vs Crystal Palace,29,26.1,38,3420,90,100,38.0,418,83,259,156,20,186,1.24,51,51,0,0.0,49.1,60.4,-11.3,-0.3
vs Everton,26,26.2,38,3420,90,100,38.0,418,84,266,151,18,190,1.34,44,42,2,0.05,46.2,41.8,4.5,0.12
vs Fulham,26,26.3,38,3420,90,100,38.0,418,83,258,160,18,181,1.34,54,54,0,0.0,47.2,49.0,-1.8,-0.05
vs Ipswich Town,32,26.3,38,3420,90,100,38.0,418,82,255,162,18,178,2.16,82,36,46,1.21,72.7,34.4,38.3,1.01
vs Leicester City,32,26.3,38,3420,90,100,38.0,418,82,253,165,17,175,2.16,80,33,47,1.24,71.9,32.6,39.3,1.03
vs Liverpool,24,26.1,38,3420,90,100,38.0,418,82,257,160,20,179,0.55,41,86,-45,-1.18,38.6,82.2,-43.6,-1.15
vs Manchester City,30,26.2,38,3420,90,100,38.0,418,85,255,161,18,180,0.92,44,72,-28,-0.74,47.7,68.1,-20.4,-0.54
vs Manchester Utd,31,26.4,38,3420,90,100,38.0,418,81,256,159,17,183,1.66,54,44,10,0.26,53.8,52.6,1.3,0.03
vs Newcastle Utd,24,26.3,38,3420,90,100,38.0,418,83,254,161,19,180,1.11,47,68,-21,-0.55,45.5,63.8,-18.3,-0.48
vs Nott'ham Forest,23,26.2,38,3420,90,100,38.0,418,83,255,162,20,180,1.08,46,58,-12,-0.32,48.9,45.5,3.4,0.09
vs Southampton,36,26.2,38,3420,90,100,38.0,418,80,249,168,19,172,2.53,86,26,60,1.58,84.8,32.7,52.1,1.37
vs Tottenham,31,26.2,38,3420,90,100,38.0,418,82,259,158,18,184,1.87,65,64,1,0.03,63.3,58.8,4.5,0.12
vs West Ham,27,26.1,38,3420,90,100,38.0,418,81,256,162,18,180,1.61,62,46,16,0.42,59.7,47.0,12.7,0.33
vs Wolves,32,26.2,38,3420,90,100,38.0,418,83,249,166,20,176,1.74,69,54,15,0.39,58.1,43.7,14.5,0.38
